Cluster,PAC,SHO,PAS,DRI,DEF,PHY
0,57.58,34.3,48.72,51.74,66.16,72.52
1,75.14,60.08,60.44,67.99,37.57,53.78
2,79.35,71.07,68.95,75.49,42.58,66.09
3,69.96,47.94,59.32,63.52,62.66,68.05
4,67.7,63.14,69.88,71.71,67.32,72.01
5,69.14,65.76,53.64,64.11,29.98,69.51
