Cluster,Attacking Midfielder,Center Back,Central Midfielder,Defensive Midfielder,Left Back,Left Midfielder,Left Winger,Right Back,Right Midfielder,Right Winger,Striker
0,0.127,0.026,0.284,0.118,0.089,0.067,0.02,0.074,0.071,0.022,0.102
1,0.112,0.0,0.036,0.0,0.007,0.166,0.06,0.005,0.141,0.055,0.42
2,0.014,0.176,0.189,0.184,0.174,0.018,0.001,0.198,0.026,0.002,0.017
3,0.0,0.869,0.0,0.043,0.033,0.0,0.0,0.043,0.0,0.0,0.011
