Cluster,PAC,SHO,PAS,DRI,DEF,PHY
0,72.22,67.63,71.3,74.41,60.72,70.34
1,74.31,63.56,58.64,67.48,33.81,60.79
2,68.7,50.17,60.58,64.33,62.95,68.55
3,58.15,34.65,48.93,52.17,65.7,72.4
