Cluster,Attacking Midfielder,Center Back,Central Midfielder,Defensive Midfielder,Left Back,Left Midfielder,Left Winger,Right Back,Right Midfielder,Right Winger,Striker
0,0.0,0.897,0.001,0.044,0.023,0.0,0.0,0.034,0.0,0.0,0.001
1,0.173,0.0,0.091,0.003,0.02,0.236,0.078,0.016,0.201,0.076,0.106
2,0.179,0.0,0.046,0.0,0.011,0.178,0.069,0.007,0.171,0.066,0.273
3,0.011,0.199,0.161,0.161,0.198,0.02,0.001,0.219,0.027,0.002,0.002
4,0.069,0.072,0.358,0.21,0.111,0.025,0.001,0.107,0.023,0.001,0.022
5,0.016,0.0,0.001,0.0,0.0,0.025,0.018,0.0,0.029,0.014,0.898
