Cluster,Attacking Midfielder,Center Back,Central Midfielder,Defensive Midfielder,Left Back,Left Midfielder,Left Winger,Right Back,Right Midfielder,Right Winger,Striker
0,0,1717,1,85,44,0,0,66,0,0,1
1,311,0,163,5,35,424,140,28,360,137,191
2,240,0,62,0,15,239,93,10,230,88,366
3,34,631,509,511,628,62,4,693,85,7,5
4,161,168,833,489,259,58,2,248,53,3,51
5,21,0,1,0,0,33,24,0,39,18,1191
