Cluster,Attacking Midfielder,Center Back,Central Midfielder,Defensive Midfielder,Left Back,Left Midfielder,Left Winger,Right Back,Right Midfielder,Right Winger,Striker
0,0.173,0.0,0.075,0.002,0.017,0.238,0.081,0.015,0.209,0.076,0.113
1,0.117,0.035,0.302,0.135,0.097,0.057,0.014,0.084,0.057,0.019,0.082
2,0.013,0.191,0.182,0.187,0.18,0.017,0.001,0.201,0.024,0.002,0.002
3,0.022,0.0,0.001,0.0,0.0,0.04,0.023,0.0,0.037,0.016,0.862
4,0.0,0.886,0.001,0.043,0.03,0.0,0.0,0.04,0.0,0.0,0.001
