K,Inertia,SilhouetteScore
2,48375.038181525786,0.29373911783830087
3,37760.49080261028,0.26942361362841233
4,32677.15943655372,0.23501606659243687
5,29053.385908750635,0.23400073998896184
6,26642.84788169563,0.22624550098302096
7,24622.491821176525,0.22108386451363324
8,22964.35375764733,0.2103050135281413
9,21681.823736324754,0.2034307679377363
10,20755.85056794206,0.19795387388724447
