Cluster,Attacking Midfielder,Center Back,Central Midfielder,Defensive Midfielder,Left Back,Left Midfielder,Left Winger,Right Back,Right Midfielder,Right Winger,Striker
0,0.111,0.0,0.052,0.004,0.022,0.159,0.057,0.02,0.141,0.053,0.381
1,0.0,0.654,0.019,0.098,0.098,0.001,0.0,0.112,0.001,0.0,0.017
2,0.071,0.074,0.287,0.165,0.125,0.039,0.008,0.13,0.044,0.009,0.049
