Cluster,PAC,SHO,PAS,DRI,DEF,PHY
0,76.55,62.16,62.29,69.69,38.09,55.62
1,71.5,66.91,71.29,74.05,62.71,71.14
2,68.72,49.37,60.32,64.09,63.27,68.6
3,70.38,66.28,54.71,64.97,30.49,69.53
4,58.1,34.22,48.73,51.89,66.05,72.38
