Cluster,PAC,SHO,PAS,DRI,DEF,PHY
0,74.63,63.28,59.39,67.84,35.79,60.91
1,61.67,38.13,51.97,55.63,64.64,71.07
2,70.15,60.52,67.24,70.23,63.36,70.25
