Cluster,Attacking Midfielder,Center Back,Central Midfielder,Defensive Midfielder,Left Back,Left Midfielder,Left Winger,Right Back,Right Midfielder,Right Winger,Striker
0,325,66,724,302,227,171,51,188,180,55,261
1,389,0,124,1,23,575,208,16,488,191,1457
2,53,671,720,698,663,70,4,753,99,7,64
3,0,1779,1,89,68,0,0,88,0,0,23
