Cluster,Attacking Midfielder,Center Back,Central Midfielder,Defensive Midfielder,Left Back,Left Midfielder,Left Winger,Right Back,Right Midfielder,Right Winger,Striker
0,0,2351,90,449,364,6,0,419,6,0,98
1,767,165,1479,641,617,810,263,626,761,253,1707
