Name,Position,Primary Functional Role,Official Alternative Functional Roles,Official Eligible Functional Roles,Primary Functional Role Suitability,Best Official Alternative Functional Role,Best Official Alternative Role Suitability,Learned Role Rank 1,Learned Role Rank 1 Probability,Learned Role Rank 2,Learned Role Rank 2 Probability
Declan Rice,Defensive Midfielder,Defensive Midfielder,Central Midfielder,Defensive Midfielder|Central Midfielder,0.44714801519965286,Central Midfielder,0.034303401752203574,Fullback,0.5075452586731943,Defensive Midfielder,0.44714801519965286
Marquinhos,Center Back,Center Back,,Center Back,0.9802460611648384,,,Center Back,0.9802460611648384,Defensive Midfielder,0.018117878397814806
Jules Koundé,Right Back,Fullback,Center Back|Wide Midfielder,Fullback|Center Back|Wide Midfielder,0.7039492242407455,Center Back,0.2923131712742803,Fullback,0.7039492242407455,Center Back,0.2923131712742803
Bruno Fernandes,Attacking Midfielder,Attacking Midfielder,Central Midfielder,Attacking Midfielder|Central Midfielder,0.6750574548887525,Central Midfielder,0.31639038390491103,Attacking Midfielder,0.6750574548887525,Central Midfielder,0.31639038390491103
William Saliba,Center Back,Center Back,,Center Back,0.9987626893446114,,,Center Back,0.9987626893446114,Defensive Midfielder,0.0011458137276585607
Julián Alvarez,Striker,Striker,,Striker,0.3941817737905414,,,Striker,0.3941817737905414,Attacking Midfielder,0.3722762788980928
Jonathan Tah,Center Back,Center Back,,Center Back,0.9997990044585502,,,Center Back,0.9997990044585502,Defensive Midfielder,0.0002009907367734975
Alexis Mac Allister,Central Midfielder,Central Midfielder,Defensive Midfielder,Central Midfielder|Defensive Midfielder,0.7652364105528714,Defensive Midfielder,0.164868960831932,Central Midfielder,0.7652364105528714,Defensive Midfielder,0.164868960831932
Martin Ødegaard,Central Midfielder,Central Midfielder,Attacking Midfielder,Central Midfielder|Attacking Midfielder,0.485380496269541,Attacking Midfielder,0.4971517993137116,Attacking Midfielder,0.4971517993137116,Central Midfielder,0.485380496269541
Viktor Gyökeres,Striker,Striker,,Striker,0.9882653357225647,,,Striker,0.9882653357225647,Winger,0.008858860209393271
Nicolò Barella,Central Midfielder,Central Midfielder,,Central Midfielder,0.7192347623934885,,,Central Midfielder,0.7192347623934885,Defensive Midfielder,0.22502584578553653
Victor Osimhen,Striker,Striker,,Striker,0.9996334420377487,,,Striker,0.9996334420377487,Winger,0.00028023832658198214
Nuno Mendes,Left Back,Fullback,Wide Midfielder,Fullback|Wide Midfielder,0.9950288039807801,Wide Midfielder,0.003245207043653243,Fullback,0.9950288039807801,Wide Midfielder,0.003245207043653243
Antonio Rüdiger,Center Back,Center Back,,Center Back,0.9947861711270809,,,Center Back,0.9947861711270809,Defensive Midfielder,0.004789146894959997
Michael Olise,Right Midfielder,Wide Midfielder,Winger,Wide Midfielder|Winger,0.04100052580106052,Winger,0.08431326699579793,Attacking Midfielder,0.8616265691535667,Winger,0.08431326699579793
Trent Alexander-Arnold,Right Back,Fullback,Wide Midfielder,Fullback|Wide Midfielder,0.4324127527459628,Wide Midfielder,0.005987606050029023,Fullback,0.4324127527459628,Central Midfielder,0.3613264273116749
Rúben Dias,Center Back,Center Back,,Center Back,0.9980750405445116,,,Center Back,0.9980750405445116,Defensive Midfielder,0.0019248042567995745
Paulo Dybala,Attacking Midfielder,Attacking Midfielder,Striker,Attacking Midfielder|Striker,0.6761736690956964,Striker,0.03140374933667688,Attacking Midfielder,0.6761736690956964,Winger,0.21813516993463097
