,Attacking Midfielder,Center Back,Central Midfielder,Defensive Midfielder,Fullback,Striker,Wide Midfielder,Winger
Attacking Midfielder,81,0,40,0,2,8,20,3
Center Back,0,454,1,25,23,0,0,0
Central Midfielder,15,0,249,38,5,1,6,0
Defensive Midfielder,0,15,55,136,12,0,0,0
Fullback,0,17,16,18,350,0,4,0
Striker,5,1,3,0,0,321,25,6
Wide Midfielder,22,0,18,1,38,23,195,20
Winger,16,0,4,0,3,8,62,10
