,PC1,PC2
GK Diving,0.45889637655468213,-0.3112550807481076
GK Handling,0.4561421891835152,-0.08411812765714258
GK Kicking,0.4026003057432686,0.8929815598289127
GK Positioning,0.4586713754048482,-0.08850824993183057
GK Reflexes,0.457036083949075,-0.3013214874639269
