PrincipalComponent,ExplainedVarianceRatio,CumulativeExplainedVariance
PC1,0.8505806698085409,0.8505806698085409
PC2,0.07612410549809812,0.926704775306639
PC3,0.03566541710512916,0.9623701924117681
PC4,0.02385516274107324,0.9862253551528414
PC5,0.013774644847158714,1.0
