Strategy,State at Decision,Tactical Objective,Matches in State,Share of Simulations,Final Win Rate,Final Draw Rate,Final Loss Rate,Average Final Goals For,Average Final Goals Against,Average Final Goal Difference,Objective Success Label,Objective Success Rate,Opponent
No tactical changes,Leading,Preserve the lead,17480,0.3496,0.7876430205949657,0.15366132723112128,0.058695652173913045,2.4625286041189933,0.9193935926773456,1.5431350114416476,Lead Preserved as Win,0.7876430205949657,Real Madrid 2026-27
No tactical changes,Tied,Convert the tied match into a win,18336,0.36672,0.34434991273996507,0.3715641361256545,0.28408595113438045,1.2339659685863875,1.123854712041885,0.11011125654450261,Tie Converted to Win,0.34434991273996507,Real Madrid 2026-27
No tactical changes,Trailing,Recover at least a draw,14184,0.28368,0.09052453468697123,0.1826001128031585,0.7268753525098702,1.0353919909757474,2.2851804850535813,-1.249788494077834,Defeat Avoided,0.2731246474901297,Real Madrid 2026-27
Situation-aware Stage 4.4,Leading,Preserve the lead,17480,0.3496,0.7982265446224256,0.14919908466819223,0.05257437070938215,2.441990846681922,0.875,1.5669908466819222,Lead Preserved as Win,0.7982265446224256,Real Madrid 2026-27
Situation-aware Stage 4.4,Tied,Convert the tied match into a win,18336,0.36672,0.34434991273996507,0.3715641361256545,0.28408595113438045,1.2339659685863875,1.123854712041885,0.11011125654450261,Tie Converted to Win,0.34434991273996507,Real Madrid 2026-27
Situation-aware Stage 4.4,Trailing,Recover at least a draw,14184,0.28368,0.10885504794134236,0.19472645234066555,0.6964184997179921,1.1843626621545402,2.382261703327693,-1.197899041173153,Defeat Avoided,0.3035815002820079,Real Madrid 2026-27
