,Attacking Midfielder,Center Back,Central Midfielder,Defensive Midfielder,Fullback,Striker,Wide Midfielder,Winger
Attacking Midfielder,66,0,39,0,0,8,33,8
Center Back,0,443,1,36,23,0,0,0
Central Midfielder,19,0,200,52,24,3,16,0
Defensive Midfielder,0,19,59,107,33,0,0,0
Fullback,1,29,40,53,277,0,5,0
Striker,5,0,1,0,1,309,39,6
Wide Midfielder,38,0,29,1,22,26,168,33
Winger,12,0,5,0,2,11,52,21
