Position,count
Center Back,2516
Striker,1805
Central Midfielder,1569
Defensive Midfielder,1090
Right Back,1045
Left Back,981
Left Midfielder,816
Right Midfielder,767
Attacking Midfielder,767
Left Winger,263
Right Winger,253
