Cluster,Attacking Midfielder,Center Back,Central Midfielder,Defensive Midfielder,Left Back,Left Midfielder,Left Winger,Right Back,Right Midfielder,Right Winger,Striker
0,444,0,208,17,88,637,228,81,563,212,1526
1,0,2181,62,326,328,4,0,375,4,0,56
2,323,335,1299,747,565,175,35,589,200,41,223
