ID,Suitability: Attacking Midfielder,Suitability: Center Back,Suitability: Central Midfielder,Suitability: Defensive Midfielder,Suitability: Full Back,Suitability: Striker,Suitability: Wide Midfielder,Suitability: Winger
70753,,,69.424,53.144032409430096,,,,
70754,,,,,,70.334,,
70756,,,61.25243601482963,72.44,,,,
70765,,,,,,70.98,,
70766,,,,,73.386,,,
70768,,57.99465888047249,,76.81,,,,
70786,,,75.9,,,,,
70787,,,,,,,73.758,55.02735174839212
70801,,,,,,,75.374,60.68319010773988
70810,,,,,,76.998,,
70822,,,,,,,82.876,68.22468424610976
70824,,76.99,,,,,,
70832,,,,78.85,,,,
70838,,,53.3609465343656,,75.094,,58.26521716663003,
70841,,,69.79016046646511,57.042193937850705,,,79.72200000000001,
70843,70.09,,,,,,,
70845,54.79448935841624,,77.77,,,,,
70848,,,,,,69.294,58.06013844694655,54.64712275496289
70860,70.0,,,,,66.38043507917371,,
70862,49.83833064560149,,73.194,,,,,
70869,,72.81,,,,,,
70878,,72.37,,,,,,
70885,,,71.174,,,,,
70887,57.26603695914916,,78.018,,,,,
70888,,,57.32637602253592,,61.10881966644632,,80.27,
70893,73.47,,,,,,61.23016784176329,59.52992677234089
70902,,,,,,,66.39099980564554,79.614
70903,,,71.50379232262651,77.14,,,,
70906,,65.49386264767487,,70.05,,,,
70908,,,,,,76.576,,
70909,,,,,71.25,,,
70916,,48.741187581457304,,,70.226,,,
70918,,71.86,,,,,,
70922,,,,,,,75.9,60.55168099836457
70928,,74.64,,,,,,
70937,,,55.94394515184209,76.31,,,,
70946,,,,,,76.584,,
70948,,,73.502,,,,,
70951,,71.43,,,,,,
70953,,,70.184,49.56159620641731,,,,
70956,48.43908294331042,,,,,,73.696,55.76780321734643
70958,52.67850513790382,,76.408,,,,,
70960,,,,,74.594,,,
70963,,,,,,,71.494,50.32560569515624
70966,,73.34,,,,,,
70967,,,,,,76.408,,
70968,,,,,,,66.48224957839281,73.426
70971,,,,,,,79.728,63.639783736270566
70994,,,,,,52.13348977576411,76.77799999999999,60.4719417185614
70996,,,57.247751757993285,75.23,54.547654098308286,,,
70999,,,70.954,,,,,
71003,,,,74.88,,,,
71005,,,,,,61.95411917210345,49.3966649778322,71.21
71013,,,,,,,71.02989269891548,79.48
71046,,71.96000000000001,,,,,,
71059,48.92962791530085,,70.286,,,,,
71066,,,,,,73.894,,
71078,,,,,71.596,,50.7059992836907,
71084,51.54128453392172,,73.656,,,,,
71091,,74.1,,,,,,
71101,,,,,,72.78399999999999,,
71103,,73.45,,,,,,
71106,,,,,,,77.484,59.52311323884774
71108,,,,,72.588,,,
71110,,,,,,,66.93157230330858,77.344
71114,,,79.206,56.7206812552646,,,,
71115,,,,,74.428,,,
71151,,,71.86,52.23176388785944,54.21913073222651,,,
71169,,,64.93587244568923,71.28999999999999,,,,
71170,,,74.382,,,,,
71174,,,73.514,,,,,
71178,63.33182494364774,,,,,,75.68,54.64586082681096
71181,,,,,,73.176,,
71205,,,,,,,73.166,52.65689369681119
71215,,,,,,74.45,,
71218,,,60.113332922198566,71.55,,,,
71224,,,,,74.998,,,
71230,,,77.342,,62.30596855767849,,56.31930207865781,
71231,,,,,73.644,,,
71242,,,,,,,74.792,59.16111944430682
71243,,75.43,,,,,,
71257,,,,,,71.588,,
71258,50.57510678489785,,58.68824851921295,,,,72.656,
71259,,,57.01272811200809,80.4,,,,
71261,,76.79,,,,,,
71291,,,,,,,74.946,58.779017439951346
71292,,73.89,,56.53041961665308,,,,
71296,59.89958080226881,,70.828,,,,,
71297,53.39964236342444,,,,,75.274,,
71305,,,,,79.48400000000001,,,
71309,,71.96000000000001,,,,,,
71330,,77.44,,,,,,
71342,,,69.844,,,,,
71343,,,,,,,69.47385824513923,76.236
71350,,75.56,,,,,,
71351,,54.00557883615392,,76.48,,,,
71359,,,71.516,,,,52.21687712841985,
71388,,75.47,,,,,,
71400,,,,,73.72,,,
71401,51.696911278077884,,73.754,,,,,
71407,,71.94,,,,,,
71418,,,,,,,78.536,60.360156069572085
71420,,,,,,,58.868054942801464,72.53399999999999
71451,,,,,76.642,,55.28891889427236,
71455,48.616060717325986,,,,,,72.298,53.59044362895755
71474,54.12792843696474,,,,,70.80799999999999,63.675370703384374,
71478,52.766139622608804,,,,,,58.12570887368505,71.918
71485,60.59092162939788,,72.988,,,,54.96446337680495,
71487,,76.56,,,,,,
71491,,,,,70.898,,49.79275906472569,
71532,78.7,,71.21428715698858,,,,,
71546,,,,,69.95454005892898,,73.956,
71553,,73.4,,,,,,
71590,,,,,,,60.12132783938291,72.728
71598,,,69.098,55.04501897059107,,,,
71611,,73.52,,,,,,
71618,,,,,,,72.422,54.074551709595085
71634,,,,,57.76422055297329,,71.53,
71646,,,,,,69.74000000000001,57.758601941529164,53.59536120218444
71651,,,,,77.124,,,
71655,,72.46000000000001,,,,,,
71671,69.09,,,,,,,
71672,,,,,77.684,,,
71681,,,53.52279610630631,,74.336,,54.47112611528286,
71682,,,,,,74.762,,
71727,,,,,76.56,,,
71729,,72.53,,48.316627224178255,,,,
71730,,,,,,,66.11364476026785,74.146
71735,,,,,,,69.05314203681665,72.614
71778,,,,,72.27,,,
71786,,,72.124,61.399582630259744,,,,
71814,,,,71.32,,,,
71843,,,,,,70.51,,
71857,,,67.0277955455214,71.42999999999999,,,,
71858,,72.57,,,,,,
71861,,,,,,72.466,,
71864,,75.06,,,,,,
71867,,,,,71.48400000000001,,,
71882,,74.58,,,,,,
71897,,71.00999999999999,,51.204707730108964,,,,
71907,,,,,,70.446,,
71910,53.122976941197955,,72.756,,,,,
71911,,,,,,,70.898,51.952777224306914
71912,,,,,74.46600000000001,,,
71914,,,,,,,72.62,60.894816281985186
71925,47.91553035334819,,71.02,,,,,
71944,,,63.37532931135658,74.34,,,,
71959,,,55.4802979137944,,74.104,,53.24294055967088,
71960,,,,,73.318,,,
71972,,52.39089027954148,,72.08,,,,
71973,,,,,,70.822,,
71977,70.8,,50.67781888437216,,,,47.18288222521397,
71981,,,59.16733910542594,,74.832,,59.84453196837307,
71994,,,,,71.684,,52.450570829559894,
71996,,,46.4756264884975,70.39,,,,
71998,56.423800251136505,,,,,,78.342,59.55990609765959
72006,,52.770639864200355,,74.03,,,,
