ID,Name,Position,Team,League,Nation,OVR,Preferred foot,Alternative positions,Age,Height,Weight,Original Role Group,Evaluated Role,Role Source,Position Fit Score,Role Attribute Score,Player Role Suitability
225878,Cecilio Domínguez,Left Midfielder,Cerro Porteño,Libertadores,Paraguay,73,Right,"['LW', 'ST']",31,"179cm / 5'10""",74kg / 163lb,Wide Midfielder,Attacking Midfielder,Flexible Position 2,11.77747372564967,71.15,56.95436843141242
260952,Andreas Schjelderup,Left Winger,SL Benfica,Liga Portugal,Norway,74,Right,"['CAM', 'RW', 'LM']",21,"176cm / 5'9""",69kg / 152lb,Winger,Attacking Midfielder,Flexible Position 2,10.66768098959385,70.95,56.94692024739847
237871,Jordan Holsgrove,Central Midfielder,Estoril Praia,Liga Portugal,Scotland,73,Left,['CDM'],26,"180cm / 5'11""",73kg / 161lb,Central Midfielder,Attacking Midfielder,Flexible Position 1,11.38395249863917,71.35,56.93598812465979
200294,Edu García,Striker,SZ Peng City,CSL,Spain,68,Right,"['CAM', 'CM']",35,"181cm / 5'11""",74kg / 163lb,Striker,Attacking Midfielder,Flexible Position 1,24.90910886756132,67.25,56.92727721689033
276877,Kamil Lukoszek,Left Midfielder,Górnik Zabrze,PKO BP Ekstraklasa,Poland,65,Left,"['RM', 'LB']",23,"177cm / 5'10""",70kg / 154lb,Wide Midfielder,Attacking Midfielder,Flexible Position 1,40.8687039621618,59.9,56.92717599054045
220517,Francesco Di Mariano,Right Midfielder,Modena,Serie BKT,Italy,71,Right,"['RW', 'LM']",29,"177cm / 5'10""",68kg / 150lb,Wide Midfielder,Attacking Midfielder,Flexible Position 2,17.87362434822471,69.0,56.918406087056184
240992,Nahuel Estévez,Defensive Midfielder,Parma,Serie A Enilive,Argentina,71,Right,['CM'],30,"181cm / 5'11""",77kg / 170lb,Defensive Midfielder,Attacking Midfielder,Flexible Position 2,14.626004840986221,71.0,56.90650121024655
240837,Mert Hakan Yandaş,Central Midfielder,Fenerbahçe,Trendyol Süper Lig,Turkey,70,Right,['CAM'],31,"174cm / 5'9""",70kg / 154lb,Central Midfielder,Attacking Midfielder,Flexible Position 1,12.803097229045141,73.0,56.90077430726129
251951,Manuel Cicconi,Left Midfielder,Carrarese Calcio,Serie BKT,Italy,70,Left,"['LB', 'LW']",28,"182cm / 6'0""",74kg / 163lb,Wide Midfielder,Attacking Midfielder,Flexible Position 1,20.30231833819057,68.3,56.89557958454764
239048,Halil Akbunar,Right Midfielder,Eyüpspor,Trendyol Süper Lig,Turkey,71,Left,"['LM', 'RW']",32,"167cm / 5'6""",68kg / 150lb,Wide Midfielder,Attacking Midfielder,Flexible Position 1,17.15321647635947,69.35,56.87830411908986
261276,James Clarke,Striker,Bohemians,SSE Airtricity PD,Republic of Ireland,62,Right,"['CAM', 'CM']",24,"186cm / 6'1""",72kg / 159lb,Striker,Attacking Midfielder,Flexible Position 1,46.57213778679489,58.75,56.843034446698724
275985,Alberto Reina,Central Midfielder,R. Oviedo,LALIGA EA SPORTS,Spain,73,Right,"['RW', 'CAM', 'RM']",28,"179cm / 5'10""",71kg / 157lb,Central Midfielder,Attacking Midfielder,Flexible Position 1,12.13604331500502,70.55,56.80401082875125
199386,Bryan Linssen,Striker,N.E.C. Nijmegen,Eredivisie,Holland,69,Right,,35,"170cm / 5'7""",64kg / 141lb,Striker,Attacking Midfielder,Flexible Position 1,17.23641701236133,70.75,56.759104253090335
277360,Irfan Yadwad,Left Midfielder,Chennaiyin FC,ISL,India,61,Right,"['ST', 'RM', 'LW']",24,"177cm / 5'10""",64kg / 141lb,Wide Midfielder,Attacking Midfielder,Flexible Position 1,48.115034316345614,58.45,56.758758579086404
200630,James Forrest,Right Winger,Celtic,Scottish Prem,Scotland,72,Right,['RM'],34,"175cm / 5'9""",77kg / 170lb,Winger,Attacking Midfielder,Flexible Position 2,11.62138939694581,71.6,56.745347349236454
265801,Kasey McAteer,Right Midfielder,Ipswich,EFL Championship,Republic of Ireland,71,Right,"['RW', 'CAM']",24,"177cm / 5'10""",67kg / 148lb,Wide Midfielder,Attacking Midfielder,Flexible Position 1,19.27913261566357,67.65,56.72978315391589
275343,Baltasar Rodríguez,Central Midfielder,Inter Miami CF,MLS,Argentina,70,Right,"['CAM', 'LW']",22,"173cm / 5'8""",64kg / 141lb,Central Midfielder,Attacking Midfielder,Flexible Position 2,18.26213138326905,69.0,56.66553284581727
216334,Pieter Gerkens,Central Midfielder,Cercle Brugge,1A Pro League,Belgium,69,Right,"['LM', 'LW']",31,"179cm / 5'10""",72kg / 159lb,Central Midfielder,Attacking Midfielder,Flexible Position 1,20.52025532564974,68.45,56.66006383141244
251599,Riki,Central Midfielder,Albacete BP,LALIGA HYPERMOTION,Spain,70,Right,"['CDM', 'CB']",28,"175cm / 5'9""",70kg / 154lb,Central Midfielder,Attacking Midfielder,Flexible Position 1,19.49889797108202,68.2,56.654724492770505
220198,Bersant Celina,Left Midfielder,AIK,Allsvenskan,Kosovo,70,Right,"['LW', 'CM', 'LB']",29,"181cm / 5'11""",66kg / 146lb,Wide Midfielder,Attacking Midfielder,Flexible Position 1,22.1486293763657,66.5,56.63715734409143
193144,Nam Tae Hee,Central Midfielder,Jeju United,K League 1,Korea Republic,67,Right,"['RW', 'RM']",34,"174cm / 5'9""",72kg / 159lb,Central Midfielder,Attacking Midfielder,Flexible Position 2,22.34785288321423,69.0,56.63696322080355
276583,Livan Burcu,Left Midfielder,Union Berlin,Bundesliga,Turkey,70,Right,"['LW', 'RW']",21,"178cm / 5'10""",68kg / 150lb,Wide Midfielder,Attacking Midfielder,Flexible Position 1,20.51111173036086,67.5,56.62777793259021
256167,Ezequiel Cañete,Central Midfielder,Unión,LPF,Argentina,67,Right,"['CAM', 'ST']",26,"183cm / 6'0""",76kg / 168lb,Central Midfielder,Attacking Midfielder,Flexible Position 1,24.82387673323726,67.4,56.61596918330932
238049,Paxton Pomykal,Central Midfielder,FC Dallas,MLS,United States,65,Left,"['CDM', 'CAM']",26,"173cm / 5'8""",73kg / 161lb,Central Midfielder,Attacking Midfielder,Flexible Position 1,28.73319787561494,66.7,56.61329946890374
241937,Abdou Harroui,Central Midfielder,Hellas Verona,Serie A Enilive,Morocco,72,Right,"['CDM', 'CAM']",28,"182cm / 6'0""",76kg / 168lb,Central Midfielder,Attacking Midfielder,Flexible Position 2,12.356955518278,70.75,56.5892388795695
272455,Pablo Marín,Central Midfielder,Real Sociedad,LALIGA EA SPORTS,Spain,73,Right,['CAM'],22,"178cm / 5'10""",71kg / 157lb,Central Midfielder,Attacking Midfielder,Flexible Position 1,10.03844570713216,71.3,56.57961142678303
263696,Gabriel Vega,Central Midfielder,Banfield,LPF,Argentina,65,Right,['LM'],23,"186cm / 6'1""",75kg / 165lb,Central Midfielder,Attacking Midfielder,Flexible Position 1,37.45578729278038,61.150000000000006,56.5739468231951
70710,David González,Central Midfielder,Racing Club,LPF,Argentina,64,Right,,22,"167cm / 5'6""",62kg / 137lb,Central Midfielder,Attacking Midfielder,Flexible Position 1,37.47754616045919,62.0,56.5693865401148
236679,Melendo,Central Midfielder,Shanghai Port FC,CSL,Spain,71,Left,"['RM', 'CAM', 'RW']",28,"167cm / 5'6""",63kg / 139lb,Central Midfielder,Attacking Midfielder,Flexible Position 2,10.68933917731856,72.60000000000001,56.562334794329644
258730,Miguel Rodríguez,Right Winger,FC Utrecht,Eredivisie,Spain,73,Left,['RM'],22,"178cm / 5'10""",73kg / 161lb,Winger,Attacking Midfielder,Flexible Position 2,11.58454161917524,70.25,56.54613540479381
