,Attacking Midfielder,Center Back,Central Midfielder,Defensive Midfielder,Fullback,Striker,Wide Midfielder,Winger
Attacking Midfielder,79,0,29,1,0,6,23,16
Center Back,0,443,0,37,23,0,0,0
Central Midfielder,26,0,197,58,19,1,13,0
Defensive Midfielder,0,14,40,139,25,0,0,0
Fullback,0,22,37,56,283,0,7,0
Striker,4,0,1,0,0,310,13,33
Wide Midfielder,33,0,31,2,24,22,95,110
Winger,16,0,4,0,2,9,28,44
