Cluster,Attacking Midfielder,Center Back,Central Midfielder,Defensive Midfielder,Left Back,Left Midfielder,Left Winger,Right Back,Right Midfielder,Right Winger,Striker
0,401,0,175,4,40,552,189,35,486,177,263
1,285,86,734,329,235,139,35,205,138,46,200
2,47,689,658,673,648,63,4,726,86,6,8
3,34,0,1,0,0,62,35,0,57,24,1333
4,0,1741,1,84,58,0,0,79,0,0,1
