Cluster,Attacking Midfielder,Center Back,Central Midfielder,Defensive Midfielder,Left Back,Left Midfielder,Left Winger,Right Back,Right Midfielder,Right Winger,Striker
0,0.0,0.621,0.024,0.119,0.096,0.002,0.0,0.111,0.002,0.0,0.026
1,0.095,0.02,0.183,0.079,0.076,0.1,0.033,0.077,0.094,0.031,0.211
