Strategy,State at Decision,Tactical Objective,Matches in State,Share of Simulations,Final Win Rate,Final Draw Rate,Final Loss Rate,Average Final Goals For,Average Final Goals Against,Average Final Goal Difference,Objective Success Label,Objective Success Rate,Opponent
No tactical changes,Leading,Preserve the lead,19426,0.38852,0.8221455780912179,0.13394419849685987,0.04391022341192217,2.544682384433234,0.8389786883558118,1.7057036960774221,Lead Preserved as Win,0.8221455780912179,Spain 2026
No tactical changes,Tied,Convert the tied match into a win,18312,0.36624,0.3861402359108781,0.368610747051114,0.24524901703800786,1.2822193097422456,1.0411751856705984,0.24104412407164702,Tie Converted to Win,0.3861402359108781,Spain 2026
No tactical changes,Trailing,Recover at least a draw,12262,0.24524,0.11009623226227369,0.2086935247104877,0.6812102430272386,1.0834284782254118,2.156336649812429,-1.0729081715870168,Defeat Avoided,0.31878975697276135,Spain 2026
Situation-aware Stage 4.4,Leading,Preserve the lead,19426,0.38852,0.8314115103469577,0.12776691032636672,0.040821579326675586,2.5241943786677647,0.8050550808195203,1.7191392978482447,Lead Preserved as Win,0.8314115103469577,Spain 2026
Situation-aware Stage 4.4,Tied,Convert the tied match into a win,18312,0.36624,0.3861402359108781,0.368610747051114,0.24524901703800786,1.2822193097422456,1.0411751856705984,0.24104412407164702,Tie Converted to Win,0.3861402359108781,Spain 2026
Situation-aware Stage 4.4,Trailing,Recover at least a draw,12262,0.24524,0.1327679008318382,0.2187245147610504,0.6485075844071114,1.2511009623226228,2.247838851737074,-0.9967378894144512,Defeat Avoided,0.3514924155928886,Spain 2026
