Functional Role,PAC,SHO,PAS,DRI,DEF,PHY,Number of Players
Attacking Midfielder,70.6870925684485,65.11734028683182,67.48239895697523,71.61929595827901,46.54237288135593,60.61929595827901,767
Center Back,60.72257551669316,37.709856915739266,52.15699523052464,55.16573926868045,68.19475357710652,73.57909379968204,2516
Central Midfielder,66.48438495857233,61.25302740599108,66.75908221797323,69.20777565328234,61.374123645634164,66.7240280433397,1569
Defensive Midfielder,62.41559633027523,55.028440366972475,63.877064220183485,66.12110091743119,66.03669724770643,70.96238532110091,1090
Fullback,74.34205330700888,48.65992102665351,61.00839091806515,65.60365251727542,63.48371174728529,67.30651530108588,2026
Striker,70.96786703601109,67.95734072022161,56.586703601108034,66.6432132963989,31.98393351800554,68.81108033240997,1805
Wide Midfielder,78.37839545167404,62.79406190777006,63.238787113076434,70.27416298168035,41.359444093493366,59.884396715097914,1583
Winger,78.16472868217055,64.55426356589147,63.42248062015504,71.02713178294573,36.26162790697674,58.742248062015506,516
