Method,Formation,PAC,SHO,PAS,DRI,DEF,PHY
OVR Baseline,3-4-3,81.0,75.7,78.5,82.9,66.0,80.7
OVR Baseline,3-5-2,79.1,75.3,78.6,83.2,68.2,80.2
OVR Baseline,4-1-2-1-2,81.5,76.3,78.3,83.1,71.1,80.0
OVR Baseline,4-2-3-1,82.4,76.5,78.6,83.1,67.8,79.1
OVR Baseline,4-3-3,81.8,76.0,79.9,84.1,71.1,78.8
OVR Baseline,4-4-2,83.2,77.1,78.3,83.1,68.1,80.6
OVR Baseline,5-3-2,80.3,71.8,78.8,82.7,75.4,79.4
