Formation,PAC,SHO,PAS,DRI,DEF,PHY
4-3-3,69.28109482951761,54.73399189157446,60.71576657947277,65.47729126581979,55.66490645197174,67.2477236065757
4-2-3-1,69.29448672767552,54.49796447575668,60.49989645359399,65.40977582273435,54.647988735751156,67.06108612584576
4-4-2,70.17905525399189,55.67484159527511,59.949991816149506,65.37890874346348,53.279193316304976,67.2610228383231
4-1-2-1-2,67.81364505352946,55.130607279101525,60.438180711250084,65.09811583469845,56.26521151051254,68.44231162324152
3-5-2,67.22082756282045,53.803273030103924,59.12867995810616,63.919811212179084,56.2180228147084,68.99607954878302
3-4-3,69.51542696262592,54.4155476345628,59.76679930000802,64.84880614738522,53.66828531953256,66.76718259583504
5-3-2,66.81719334835392,52.38985894199227,58.90564033860503,63.45276016573858,58.43044958008759,69.73829140738181
