Method,Formation,Average OVR,Total OVR
OVR Baseline,4-3-3,89.36363636363636,983.0
OVR Baseline,4-2-3-1,89.36363636363636,983.0
OVR Baseline,4-4-2,89.45454545454545,984.0
OVR Baseline,4-1-2-1-2,89.27272727272727,982.0
OVR Baseline,3-5-2,89.54545454545455,985.0
OVR Baseline,3-4-3,89.54545454545455,985.0
OVR Baseline,5-3-2,89.0,979.0
