Name,Number of Formations,Formations
Achraf Hakimi,3,"4-3-3, 4-2-3-1, 4-4-2"
Erling Haaland,3,"4-3-3, 4-2-3-1, 4-4-2"
Gabriel,3,"4-3-3, 4-2-3-1, 4-4-2"
Nuno Mendes,3,"4-3-3, 4-2-3-1, 4-4-2"
Virgil van Dijk,3,"4-3-3, 4-2-3-1, 4-4-2"
Bukayo Saka,2,"4-3-3, 4-2-3-1"
Pedri,2,"4-3-3, 4-4-2"
Rodri,2,"4-3-3, 4-2-3-1"
Vini Jr.,2,"4-3-3, 4-2-3-1"
Vitinha,2,"4-3-3, 4-4-2"
Florian Wirtz,1,4-2-3-1
Harry Kane,1,4-4-2
Joshua Kimmich,1,4-2-3-1
Mohamed Salah,1,4-4-2
Raphinha,1,4-4-2
