Formation,Starting Goalkeeper,Backup Goalkeeper,Outfield Suitability Total,Average Outfield Suitability,Starting XI Total Score,Starting XI Average Score,Official-Role Outfield Starters,Flexible-Role Outfield Starters
4-3-3,Alisson,David Raya,913.2,91.32,1000.4,90.95,10,0
4-2-3-1,Alisson,David Raya,914.09,91.41,1001.29,91.03,10,0
4-4-2,Alisson,David Raya,915.21,91.52,1002.41,91.13,10,0
