Scenario,Substitution Window,Suggested Time,Change Number,Player Out,Player Out Role,Player In,Player In Ending Role
Leading,Halftime (not an in-play opportunity),Halftime (after 45 minutes),1,Federico Valverde,Central Midfielder,Florian Wirtz,Attacking Midfielder
Leading,Halftime (not an in-play opportunity),Halftime (after 45 minutes),2,Pedri,Central Midfielder,Joshua Kimmich,Defensive Midfielder
Trailing,Halftime (not an in-play opportunity),Halftime (after 45 minutes),1,Bukayo Saka,Winger,Kylian Mbappé,Striker
Trailing,Halftime (not an in-play opportunity),Halftime (after 45 minutes),2,Rodri,Defensive Midfielder,Mohamed Salah,Wide Midfielder
Trailing,Halftime (not an in-play opportunity),Halftime (after 45 minutes),3,Vini Jr.,Winger,Raphinha,Wide Midfielder
