Scenario,Formation,Average Role Suitability,Average Tactical Score,Average Attack,Average Defense,Average Physical,Average Passing,Flexible-Role Assignments
Default Starting XI,4-3-3,91.31,89.49,79.15,72.1,80.4,78.5,0
Leading,4-2-3-1,91.41,84.46,78.97,69.7,78.8,79.3,0
Tied,4-3-3,91.31,87.92,79.15,72.1,80.4,78.5,0
Trailing,4-4-2,91.43,87.28,80.53,68.1,80.4,78.5,0
