,Attacking Midfielder,Center Back,Central Midfielder,Defensive Midfielder,Fullback,Striker,Wide Midfielder,Winger
Attacking Midfielder,102,0,23,0,0,7,13,9
Center Back,0,447,0,29,27,0,0,0
Central Midfielder,26,1,210,63,3,0,11,0
Defensive Midfielder,0,10,40,162,6,0,0,0
Fullback,0,14,6,11,367,0,7,0
Striker,13,0,0,0,0,312,17,19
Wide Midfielder,34,0,9,1,28,18,125,102
Winger,16,0,3,0,0,7,28,49
