,PAC,SHO,PAS,DRI,DEF,PHY
PAC,1.0,0.331,0.255,0.502,-0.321,-0.231
SHO,0.331,1.0,0.64,0.755,-0.487,-0.139
PAS,0.255,0.64,1.0,0.834,0.118,-0.042
DRI,0.502,0.755,0.834,1.0,-0.197,-0.181
DEF,-0.321,-0.487,0.118,-0.197,1.0,0.473
PHY,-0.231,-0.139,-0.042,-0.181,0.473,1.0
