PrincipalComponent,ExplainedVarianceRatio
PC1,0.4841801950525725
PC2,0.24768736945869865
PC3,0.12054915898714488
PC4,0.11229468682588738
PC5,0.020247833300899215
PC6,0.015040756374797406
