,PC1,PC2
PAC,0.3619190334881352,-0.17416240493838445
SHO,0.5111791916461572,0.04850716006130293
PAS,0.44446072850921037,0.46089730439285287
DRI,0.5404903416350975,0.22408318684594064
DEF,-0.2721012653852213,0.628252400161276
PHY,-0.2097527115795989,0.5567529380226304
