,Attacking Midfielder,Center Back,Central Midfielder,Defensive Midfielder,Full Back,Striker,Wide Midfielder,Winger
Attacking Midfielder,73,0,36,0,0,10,34,1
Center Back,0,459,0,20,24,0,0,0
Central Midfielder,8,1,246,38,4,1,16,0
Defensive Midfielder,0,19,60,128,11,0,0,0
Full Back,0,16,7,4,371,0,7,0
Striker,8,0,1,0,0,323,27,2
Wide Midfielder,16,0,12,0,31,25,229,4
Winger,9,0,3,0,1,10,75,5
