,Attacking Midfielder,Center Back,Central Midfielder,Defensive Midfielder,Full Back,Striker,Wide Midfielder,Winger
Attacking Midfielder,34,0,50,1,0,8,61,0
Center Back,0,458,0,22,23,0,0,0
Central Midfielder,4,0,222,38,28,1,21,0
Defensive Midfielder,0,29,56,84,49,0,0,0
Full Back,0,29,34,25,312,0,5,0
Striker,2,0,2,0,0,323,33,1
Wide Midfielder,10,0,37,2,25,31,212,0
Winger,7,0,5,0,2,12,76,1
