Strategy,State at Decision,Tactical Objective,Matches in State,Share of Simulations,Final Win Rate,Final Draw Rate,Final Loss Rate,Average Final Goals For,Average Final Goals Against,Average Final Goal Difference,Objective Success Label,Objective Success Rate
No tactical changes,Leading,Preserve the lead,15564,0.31128,0.7594448727833462,0.17129272680544846,0.06926240041120535,2.298059624775122,0.9225777435106657,1.3754818812644565,Lead Preserved as Win,0.7594448727833462
No tactical changes,Tied,Convert the tied match into a win,18932,0.37864,0.31248679484470737,0.3805725755334883,0.30694062962180435,1.1187407563912952,1.113194591168392,0.005546165222903021,Tie Converted to Win,0.31248679484470737
No tactical changes,Trailing,Recover at least a draw,15504,0.31008,0.07146542827657379,0.17234262125902994,0.7561919504643962,0.9288570691434469,2.2915376676986585,-1.3626805985552115,Defeat Avoided,0.24380804953560373
Situation-aware Stage 4.4,Leading,Preserve the lead,15564,0.31128,0.7666409663325623,0.16975070675918788,0.0636083269082498,2.2770496016448214,0.8834489848368029,1.3936006168080186,Lead Preserved as Win,0.7666409663325623
Situation-aware Stage 4.4,Tied,Convert the tied match into a win,18932,0.37864,0.31248679484470737,0.3805725755334883,0.30694062962180435,1.1187407563912952,1.113194591168392,0.005546165222903021,Tie Converted to Win,0.31248679484470737
Situation-aware Stage 4.4,Trailing,Recover at least a draw,15504,0.31008,0.08784829721362229,0.17421310629514963,0.7379385964912281,1.0572755417956656,2.397316821465428,-1.3400412796697627,Defeat Avoided,0.26206140350877194
